id,option_id,year,total_savings,energy_savings,maintenance_savings,customer_savings,demand_savings,cumulative_cash_flow,customer_cost,demand_cost,total_fixture_cost,total_replacement_cost,total_incentives,net_replacement_cost,total_fixture_cost_no_markup,total_cogs,total_labor_cost,total_recycling_cost,total_shipping_cost,total_misc_cost,total_tax_cost,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,total_savings_per_lamp_life,original_cost_per_year,replacement_cost_per_year,total_savings_per_year,original_energy_cost_per_year,original_maintenance_cost_per_year,replacement_energy_cost_per_year,replacement_maintenance_cost_per_year,energy_savings_per_year,maintenance_savings_per_year,internal_return,payback,product_type,life_years,operating_schedule_id,rate_schedule_id,markup_type,watts_per_product,item_watt_hours_consumed,item_watts,energy_charge,use,active
264,1099,16,937.75,937.75,0,,0,16281.97166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,0.363636364,1660,1058,1,25,68750,25,6.875,t,t
264,1099,16,937.75,937.75,0,,0,16281.97166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,7.272727273,1660,1058,1,31,1705000,620,170.5,t,t
264,1099,16,937.75,937.75,0,,0,16281.97166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,8.727272727,1660,1058,1,19,418000,152,41.8,t,t
264,1099,16,937.75,937.75,0,,0,16281.97166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,18.18181818,1660,1058,1,10,165000,60,16.5,t,t
264,1099,16,937.75,937.75,0,,0,16281.97166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,18.18181818,1660,1058,1,10,165000,60,16.5,t,t
264,1099,16,937.75,937.75,0,,0,16281.97166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,8.727272727,1660,1058,1,19,156750,57,15.675,t,t
264,1099,16,937.75,937.75,0,,0,16281.97166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,8.727272727,1660,1058,1,32,176000,64,17.6,t,t
264,1099,16,937.75,937.75,0,,0,16281.97166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,3.636363636,1660,1058,1,95,1045000,380,104.5,t,t
264,1099,18,836,836,0,,0,18055.72166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,8.727272727,1660,1058,1,24,66000,24,6.6,t,t
264,1099,18,836,836,0,,0,18055.72166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,ExistingLighting,7.272727273,1660,1058,1,33,453750,165,45.375,t,t
264,1099,18,836,836,0,,0,18055.72166,,0,1912.6000000000001,3067.95834,2628,439.95834000000013,765.0400000000001,1920.39834,750,0,0,310,95.35834,26116.75,15089.25,11027.5,18488.5,2611.675,1508.925,1102.7500000000002,2611.675,0,1508.925,0,1102.7500000000002,0,251,0.4,Product,18.18181818,1660,1058,1,18,396000,144,39.6,t,t
